Team,Player,Years,Avg,Year 1,Year 2,Year 3,Year 4,Year 5,Order,Sum Match,Max Check,Min Check,Text Order,,,,,,,,,,,
PIT,"Patrick Corbin, SP WAS",2,13.81,,,,,,#VALUE!,,,,17,,1.07890625,13.81,12.80,7.89%,,"Patrick Corbin, SP WAS: 7.89% (13.81 vs. 12.80)",,,,
LAD,"Patrick Corbin, SP WAS",1,12.8,,,,,,#VALUE!,,,,12,,,,,,,,,,,
PHI,"Patrick Corbin, SP WAS",1,11.5,,,,,,#VALUE!,,,,5,,,,,,,,,,,
SD,"Patrick Corbin, SP WAS",3,11,,,,,,#VALUE!,,,,13,,,,,,,,,,,
BOS,"Patrick Corbin, SP WAS",2,10.79,9.79,11.79,,,,#VALUE!,0,0,0,6,,,,,,,,,,,
CLE,"Patrick Corbin, SP WAS",1,10.45,,,,,,#VALUE!,,,,10,,,,,,,,,,,
LAD,"Patrick Corbin, SP WAS",1,10.3,,,,,,#VALUE!,,,,4,,,,,,,,,,,
ATL,"Patrick Corbin, SP WAS",3,9,,,,,,#VALUE!,,,,7,,,,,,,,,,,
NYY,"Patrick Corbin, SP WAS",2,9,,,,,,#VALUE!,,,,8,,,,,,,,,,,
NYM,"Patrick Corbin, SP WAS",1,9,,,,,,#VALUE!,,,,11,,,,,,,,,,,
WAS,"Patrick Corbin, SP WAS",2,8,,,,,,#VALUE!,,,,18,,,,,,,,,,,
OAK,"Patrick Corbin, SP WAS",4,7.75,,,,,,#VALUE!,,,,15,,,,,,,,,,,
ARZ,"Patrick Corbin, SP WAS",1,6,,,,,,#VALUE!,,,,2,,,,,,,,,,,
NYY,"Ranger Suarez, RP PHI",4,0.45,,,,,,#VALUE!,,,,8,,1.071428571,0.45,0.42,7.14%,,"Ranger Suarez, RP PHI: 7.14% (0.45 vs. 0.42)",,,,
PIT,"Ranger Suarez, RP PHI",5,0.42,,,,,,#VALUE!,,,,9,,,,,,,,,,,
BAL,"Rick Porcello, SP NYM",1,4.6,,,,,,#VALUE!,,,,20,,1.260273973,4.60,3.65,26.03%,,"Rick Porcello, SP NYM: 26.03% (4.60 vs. 3.65)",,,,
ATL,"Rick Porcello, SP NYM",1,3.65,,,,,,#VALUE!,,,,7,,,,,,,,,,,
NYM,"Rick Porcello, SP NYM",1,3.5,,,,,,#VALUE!,,,,11,,,,,,,,,,,
KC,"Rick Porcello, SP NYM",1,3.05,,,,,,#VALUE!,,,,19,,,,,,,,,,,
NYY,"Rick Porcello, SP NYM",2,2.24,,,,,,#VALUE!,,,,8,,,,,,,,,,,
ARZ,"Rick Porcello, SP NYM",1,1.5,,,,,,#VALUE!,,,,2,,,,,,,,,,,
TB,"Rick Porcello, SP NYM",1,0.65,,,,,,#VALUE!,,,,3,,,,,,,,,,,
NYM,"Robinson Cano, 2B NYM",1,3.5,,,,,,#VALUE!,,,,11,,1.25,3.50,2.80,25.00%,,"Robinson Cano, 2B NYM: 25.00% (3.50 vs. 2.80)",,,,
DET,"Robinson Cano, 2B NYM",1,2.8,,,,,,#VALUE!,,,,1,,,,,,,,,,,
ATL,"Robinson Cano, 2B NYM",1,2.75,,,,,,#VALUE!,,,,7,,,,,,,,,,,
OAK,"Robinson Cano, 2B NYM",1,1.96,,,,,,#VALUE!,,,,15,,,,,,,,,,,
PIT,"Robinson Cano, 2B NYM",1,1.31,,,,,,#VALUE!,,,,9,,,,,,,,,,,
BOS,"Robinson Cano, 2B NYM",1,0.49,,,,,,#VALUE!,,,,6,,,,,,,,,,,
CLE,"Robinson Cano, 2B NYM",1,0.4,,,,,,#VALUE!,,,,10,,,,,,,,,,,
BOS,"Shane Greene, RP ATL",2,1.07,,,,,,#VALUE!,,,,6,,1.3375,1.07,0.80,33.75%,,"Shane Greene, RP ATL: 33.75% (1.07 vs. 0.80)",,,,
CLE,"Shane Greene, RP ATL",1,0.8,,,,,,#VALUE!,,,,10,,,,,,,,,,,
ARZ,"Shane Greene, RP ATL",1,0.7,,,,,,#VALUE!,,,,2,,,,,,,,,,,
NYM,"Shane Greene, RP ATL",2,0.7,,,,,,#VALUE!,,,,11,,,,,,,,,,,
KC,"Shane Greene, RP ATL",1,0.5,,,,,,#VALUE!,,,,19,,,,,,,,,,,
TOR,"Starlin Castro, 2B WAS",2,4.2,,,,,,#VALUE!,,,,14,,1.05,4.20,4.00,5.00%,,"Starlin Castro, 2B WAS: 5.00% (4.20 vs. 4.00)",,,,
BAL,"Starlin Castro, 2B WAS",1,4,,,,,,#VALUE!,,,,20,,,,,,,,,,,
DET,"Starlin Castro, 2B WAS",2,3,2.8,3.2,,,,1,0,0,0,1,,,,,,,,,,,
WAS,"Starlin Castro, 2B WAS",1,2,,,,,,2,,,,18,,,,,,,,,,,
PIT,"Starlin Castro, 2B WAS",1,1.81,,,,,,3,,,,9,,,,,,,,,,,
BOS,"Starlin Castro, 2B WAS",1,0.69,,,,,,4,,,,6,,,,,,,,,,,
CLE,"Starlin Castro, 2B WAS",1,0.4,,,,,,5,,,,10,,,,,,,,,,,
BOS,"Travis d'Arnaud, C ATL",1,0.48,,,,,,6,,,,6,,1.2,0.48,0.40,20.00%,,"Travis d'Arnaud, C ATL: 20.00% (0.48 vs. 0.40)",,,,
DET,"Travis d'Arnaud, C ATL",1,0.4,,,,,,7,,,,1,,,,,,,,,,,
PIT,"Wander Suero, RP WAS",2,0.81,,,,,,8,,,,9,,,,,,,,,,,
ATL,"Will Harris, RP WAS",1,3.95,,,,,,9,,,,7,,1.975,3.95,2.00,97.50%,,"Will Harris, RP WAS: 97.50% (3.95 vs. 2.00)",,,,
OAK,"Will Harris, RP WAS",2,2,,,,,,10,,,,15,,,,,,,,,,,
KC,"Will Harris, RP WAS",1,1.55,,,,,,11,,,,19,,,,,,,,,,,
